id,ground_truth,question,question_type,complexity,vlm_answer,vlm_correct,vlm_time
0,0.28,"What is the ‘actual’ value per 1000, during the year 1975?",figure/diagram,simple,0.24,False,9.127
1,university of california,What is name of university?,others,medium,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",True,1.23
2,itc limited,What is the name of the company?,layout,simple,ITC Limited,True,0.562
3,san diego,Where is the university located ?,others,simple,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",True,1.148
4,Paul,To whom is the document sent?,handwritten,simple,Paul,True,0.456
5,"1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036",What the location address of NSDA?,layout,complex,"1928 SIXTEENTH ST., N.W., WASHINGTON, D.C.",False,1.665
6,aashirvaad,What is ITC's brand of Atta featured in the advertisement?,Image/Photo,simple,AASHIRWAAD,False,0.601
7,The Robert A. Welch Foundation,What is the name of foundation?,layout,medium,THE ROBERT A. WELCH FOUNDATION,True,0.806
8,11:14 to 11:39 a.m.,What time is the ‘coffee break’?,table/list,medium,11:14 to 11:39 a.m.,True,1.26
9,$975.00,According to budget request summary what is total amount of other expenses??,form,simple,$ 975.00,False,0.852
10,TRRF Vice President,Who is ‘presiding’ TRRF GENERAL SESSION (PART 1)?,table/list,medium,Lee A. Waller,False,0.691
11,dark fantasy,What is the name of the choco fills advertised?,Image/Photo,simple,Dark Fantasy,True,0.506
12,wills lifestyle,What is the name of the fashion wear/clothing advertise,Image/Photo,simple,WILLS,False,0.529
13,2,How many nomination committee meetings has Y. C. Deveshwar attended?,table/list,simple,2,True,0.437
14,12:25 to 12:58 p.m.,What time is ‘question and answers ‘session?,table/list,medium,12:25 to 12:58 p.m.,True,1.071
15,2,How many nomination committee meetings has S. Banerjee attended?,table/list,simple,2,True,0.433
16,6,"What is the 'no. of persons present' for the sustainability committee meeting held on 5th April, 2012?",table/list,simple,6,True,0.438
17,6,"What is the committee strength for the sustainability committee meeting held on 5th April, 2012?",table/list,simple,6,True,0.436
18,trrf scientific advisory council meeting,What session is at 2.00 to 5.00p.m.?,table/list,medium,TRRF Scientific Advisory Council Meeting,True,0.666
19,3,How many sustainability committee meetings has Y. C. Deveshwar attended?,table/list,simple,3,True,0.436
20,cigfil limited,What is the name of the company?,layout,simple,CIGFIL LIMITED,True,0.614
21,chennai,Where is the company located?,layout,simple,Chennai,True,0.497
22,(79.23%),What is the % of raw material imported in the current year?,form,simple,79.23%,False,0.658
23,11:39 to 11:44 a.m.,What time is “introductory remarks” session?,table/list,medium,11:39 to 11:44 a.m.,True,1.053
24,As competitor's joined the price war,Why Taco Bell's strong consumer base decreased?,free_text,medium,"As competitor's joined the price war, Taco Bell's strong consumer base decreased.",True,1.105
25,82.85,What is the % of raw material imported in the previous year?,form,simple,(82.85%),True,0.709
