id,ground_truth,question_type,complexity,raw_correct,proc_correct,raw_time,proc_time
0,0.28,figure/diagram,simple,False,False,2.593,1.056
1,university of california,others,medium,False,False,0.373,1.194
2,itc limited,layout,simple,True,True,3.782,3.639
3,san diego,others,simple,True,True,0.373,2.106
4,Paul,handwritten,simple,False,False,0.612,2.057
5,"1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036",layout,complex,False,False,1.878,1.688
6,aashirvaad,Image/Photo,simple,False,False,3.891,4.654
7,The Robert A. Welch Foundation,layout,medium,True,True,5.956,3.26
8,11:14 to 11:39 a.m.,table/list,medium,False,False,2.683,4.318
9,$975.00,form,simple,False,False,6.3,3.316
10,TRRF Vice President,table/list,medium,True,True,3.939,3.295
11,dark fantasy,Image/Photo,simple,False,False,3.87,3.635
12,wills lifestyle,Image/Photo,simple,False,False,6.124,3.644
13,2,table/list,simple,True,True,5.322,7.337
14,12:25 to 12:58 p.m.,table/list,medium,False,False,2.648,2.565
15,2,table/list,simple,True,True,7.381,5.359
16,6,table/list,simple,True,True,6.308,6.569
17,6,table/list,simple,True,True,5.362,7.433
18,trrf scientific advisory council meeting,table/list,medium,False,False,2.716,2.523
19,3,table/list,simple,True,True,7.423,5.261
20,cigfil limited,layout,simple,True,True,3.131,4.462
21,chennai,layout,simple,True,True,3.806,3.149
22,(79.23%),form,simple,False,False,3.184,4.427
23,11:39 to 11:44 a.m.,table/list,medium,False,False,3.25,2.598
24,As competitor's joined the price war,free_text,medium,True,True,1.073,1.158
25,82.85,form,simple,True,True,3.24,5.186
26,20.77%,form,simple,True,True,3.174,3.147
27,17.15,form,simple,True,True,3.17,5.223
28,A. C. Monk,table/list,medium,False,False,2.54,3.952
29,31,layout,simple,True,False,1.083,1.153
30,ITC Limited,layout,simple,True,True,4.409,3.09
31,bengaluru,free_text,simple,True,True,2.785,2.662
32,2,table/list,simple,True,True,2.695,5.892
33,22,table/list,simple,True,True,2.522,3.962
34,y. c. deveshwar,table/list,medium,True,False,8.888,6.916
35,"10,000",table/list,simple,False,True,8.974,7.426
36,"24,26,435",table/list,simple,True,True,8.361,8.513
37,70%,table/list,simple,False,False,2.086,1.601
38,"14,000",table/list,simple,False,True,6.922,8.955
39,57,table/list,simple,False,False,1.58,1.616
40,ITC LIMITED,layout,simple,True,True,7.745,5.13
41,The Environment,layout,simple,True,True,1.605,2.031
42,2013,layout,simple,True,True,7.769,5.015
43,50,free_text,simple,True,True,7.795,5.071
44,"Essenza Di Wills, Fiama Di Wills, Vivel and Superia",free_text,complex,False,False,6.634,6.145
45,Classmate and Paperkraft,free_text,medium,True,True,5.724,7.108
46,Wills Lifestyle and John Players,free_text,medium,False,False,5.796,7.064
