id,ground_truth,question_type,complexity,raw_ocr_text,proc_ocr_text,raw_correct,proc_correct,raw_time,proc_time
0,0.28,figure/diagram,simple,"FIGURE C.2.

AGE ADJUSTED MOTOR ee MORTALITY RATE

6.28

9.24

e2eor xmU

8.22

9.2

 

1958 19355 1968 1963 1978 1975 1988

. ACTUAL
“--e MULTIVARIATE PREDICTOR
","FIGURF C.2.

AGE ADJUSTED MOTOR VEHICLE ACCIDENT MORTALITY RATE

195@ 1955 1968 1965 1970

CK ACTUAL
core MULTIVARIATE PREDICTOR

 
",False,False,2.593,1.056
1,university of california,others,medium,"UNIVERSITY OP CALIBORNIA, SAN DIEGO

 
","UNIVERSITY OF GALIBORNIA, SAN DIEGO
To : 2 S Ae

pac LA Lao dds Time 220489)

WHILE YOU WERE OUT
0
Ge —~Lllheaw= ab ISSA H OSE.

  

PT clephoned {] Will phone again [[] Please phone
C}Came to see you | {] Will come again []Rush

 

 

TVircias https: www. industrydpcuments.ucsfedu/docs/nkblo226
",False,False,0.373,1.194
2,itc limited,layout,simple,"7 ITC Limited REPORT AND ACCOUNTS 2013

ITC’s Brands: An Asset for the Nation

The consumer needs and aspirations
they fulfil, the benefit they generate for
millions across ITC’s value chains, the
future-ready capabilities that support
them, and the value that they create for
the country, have made ITC’s brands
national assets, adding to India’s
competitiveness.

It is ITC’s aspiration to be the No 1
FMCG player in the country, driven by
its new FMCG businesses. A recent
Nielsen report has highlighted that ITC's
new FMCG businesses are the fastest
growing among the top consumer
goods companies operating in India.
ITC takes justifiable pride that, along
with generating economic value, these
celebrated Indian brands also drive the
creation of larger societal capital
through the virtuous cycle of
sustainable and inclusive growth.

 
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 
 
 
 
 
 
 
  

DI WILLS

*
;

LOVE DELIGHTFULLY
SOFT SKIN?

  

aia Ans

Source: https://www.industrydocuments.ucsf.edu/docs/snbx0223
","| ITC Limited REPORT AND ACCOUNTS 2013

ITC’s Brands: An Asset for the Nation

 
 
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 
 
 
 
 
 

The consumer needs and aspirations
they fulfil, the benefit they generate for
millions across ITC's value chains, the
future-ready capabilities that support
Latta CAML alc UMA) el s-| Cole V :
the country, have made ITC’s brands . : AT)
national assets, adding to India’s MULTIORRINS
competitiveness. ~~ one
It is ITC's aspiration to be the No 1
FMCG player in the country, driven by
its new FMCG businesses. A recent
Nielsen report has highlighted that ITC's
new FMCG businesses are the fastest
growing among the top consumer
goods companies operating in India.
ITC takes justifiable pride that, along
with generating economic value, these
celebrated Indian brands also drive the z ; ‘
creation of larger societal capital ren #BeYOUN
through the virtuous cycle of : cos
sustainable and inclusive growth.

Source: https:/Awww. industrydocuments.ucsf.edu/docs/snbx0223
",True,True,3.782,3.639
3,san diego,others,simple,"UNIVERSITY OP CALIBORNIA, SAN DIEGO

 
","UNIVERSITY OF GALIBORNIA, SAN DIEGO
To : 2 S Ae

pac LA Lao dds Time 220489)

WHILE YOU WERE OUT
0
Ge —~Lllheaw= ab ISSA H OSE.

  

PT clephoned {] Will phone again [[] Please phone
C}Came to see you | {] Will come again []Rush

 

 

TVircias https: www. industrydpcuments.ucsfedu/docs/nkblo226
",True,True,0.373,2.106
4,Paul,handwritten,simple,"UNIVERSITY OP CALIBORNIA, SAN DIEGO

 
","UNIVERSITY OF GALIBORNIA, SAN DIEGO
To : 2 S Ae

pac LA Lao dds Time 220489)

WHILE YOU WERE OUT
0
Ge —~Lllheaw= ab ISSA H OSE.

  

PT clephoned {] Will phone again [[] Please phone
C}Came to see you | {] Will come again []Rush

 

 

TVircias https: www. industrydpcuments.ucsfedu/docs/nkblo226
",False,False,0.612,2.057
5,"1128 SIXTEENTH ST., N. W., WASHINGTON, D. C. 20036",layout,complex," 

 

The best thing
between two sandwiches.

Soft drinks go with all kinds of
sandwiches. Round ones, square ones,
fat ones and lean ones.

Not only do they quench large
thirsts in a fun way; they also help bal-
ance the diet. After all, healthy bodies
need 5 to 6 glasses of water a day. Soft

drinks contain the purest, filtered water.
So sandwich soft drinks among
your sandwiches. And celebrate Na-
tional Sandwich Month every month in
the year.
For information on soft drinks and
the balanced diet, write:

NATIONAL SOFT DRINK ASSOCIATION
1128 SIXTEENTH ST., N. W., WASHINGTON, D.C. 20036

 

 

 
"," 

 

The best thing
| between two sandwiches.

Soft drinks go with all kinds of
sandwiches. Round ones, square ones,
fat ones and lean ones.

Not only do they quench large
thirsts in a fun way; they aiso help bal-
ance the diet. After all. healthy bodies
need 5 1o 6 glasses of water a day. Soft

drinks contain the purest, filtered water.
So sandwich soft drinks among
your sandwiches. And celebrate Na-
tional Sandwich Month every month in
the year.
For information on soft drinks and
the balanced diet, write:

NATIONAL SOFT ORINK ASSOCIATION NSDA
SNM OARSIMUT OR OBL

RES RTEENTH

 

 

 
",False,False,1.878,1.688
6,aashirvaad,Image/Photo,simple,"7 ITC Limited REPORT AND ACCOUNTS 2013

ITC’s Brands: An Asset for the Nation

The consumer needs and aspirations
they fulfil, the benefit they generate for
millions across ITC’s value chains, the
future-ready capabilities that support
them, and the value that they create for
the country, have made ITC’s brands
national assets, adding to India’s
competitiveness.

It is ITC’s aspiration to be the No 1
FMCG player in the country, driven by
its new FMCG businesses. A recent
Nielsen report has highlighted that ITC's
new FMCG businesses are the fastest
growing among the top consumer
goods companies operating in India.
ITC takes justifiable pride that, along
with generating economic value, these
celebrated Indian brands also drive the
creation of larger societal capital
through the virtuous cycle of
sustainable and inclusive growth.

 
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 
 
 
 
 
 
 
  

DI WILLS

*
;

LOVE DELIGHTFULLY
SOFT SKIN?

  

aia Ans

Source: https://www.industrydocuments.ucsf.edu/docs/snbx0223
","| ITC Limited REPORT AND ACCOUNTS 2013

ITC’s Brands: An Asset for the Nation

 
 
 
 
 
 
 
 
 
  
 
 
 
 
 
 
 
 
 
 
 
 

The consumer needs and aspirations
they fulfil, the benefit they generate for
millions across ITC's value chains, the
future-ready capabilities that support
Latta CAML alc UMA) el s-| Cole V :
the country, have made ITC’s brands . : AT)
national assets, adding to India’s MULTIORRINS
competitiveness. ~~ one
It is ITC's aspiration to be the No 1
FMCG player in the country, driven by
its new FMCG businesses. A recent
Nielsen report has highlighted that ITC's
new FMCG businesses are the fastest
growing among the top consumer
goods companies operating in India.
ITC takes justifiable pride that, along
with generating economic value, these
celebrated Indian brands also drive the z ; ‘
creation of larger societal capital ren #BeYOUN
through the virtuous cycle of : cos
sustainable and inclusive growth.

Source: https:/Awww. industrydocuments.ucsf.edu/docs/snbx0223
",False,False,3.891,4.654
7,The Robert A. Welch Foundation,layout,medium," 

THE ROBERT A. WELCH FOUNDATION
2010 Bank of the Southwest Building
Houston, Texas 77002

BUDGET REQUEST SUMMARY

YEAR (AS APPLICABLE}
May 1, 19 66 Mey i, Io 2 May 1, 18 Total

through. through through
Aon 30, 1987 Ape 30,09 pn BS

. SAL 228.00

L. Berseanmel occ ccecatenoceineen

 

 

2. Permanent Scientific Equipment won SO $s. pes $_. Se |

 

3. Expendable Scientific Items & Services ou... Suu 840,00  $ a ee ~ $840.00

 

4. Other Expense ous

§. TOTAL Exclusive of Overhead ooo SASSO OS
8 Overhedd oon tnsinnennin Sb DSFOG OBR Bes

 

 

 

 

7. TOTAL AMOUNT of Propased Budget ....... $15,000,006 cy BL,

  

  

 

 

 

Name(s} of Principal Investigators) _John E. Kilpatrick _ -
Institution William Maresh Rice University 000 i ctnie _

THE SPACE BELOW IS FOR USE BY THE FOUNDATION:

Grant Period: ences cnt UR BO nents PE Grant Ne. nent .

 

Cirertor of Research oc cccscecssecescceenenes creer renee ete — seenne aegpntepeeenevengeennemeesielithiindeetanenet

Scientific Advisory Board cc cccscscesecegs  ccce eneneeeennnnne venom gcenennennprnngeeenet scene estopemnenenesetnenae

 

Board of THistees oo cc cceseccscseeneeeuttenenbaee cee acs eteeneeenne coe pints :

Grantee and Institution Notified oe DD

Ramerks:

Source: https://www.industrydocuments.ucsf.edu/docs/zxfk0226
"," 

THE ROBERT A. WELCH FOUNDATION
2010 Bank of the Southwest Building
Houston, Texas 77002

BUOGET REQUEST SUMMARY

YEAR (AS APPLICABLE)

 

 

 

 

Mey 1,19 66.0 May t,19 0 May 119 Totat
Apr. oe 67 Age. sO ie Apr. soe

1. Personnel $_11,228,00 sO §

2, Permanent Scientific Equipment oo... x 70 - $.. $

3. Expendable Scientific Items & Services vie 4 840,00 $ a

4, Other Expense oo. cine, S975 .00 8 $e

5. TOTAL Exclusive of Overhead oon $13,043.00 5 $

B. Overhead oc cesses cere . 34,947.00 $0 Bo

7. TOTAL AMOUNT of Proposed Budget ......... $15,000.00 $_. pee

Name(s} of Principal Investigator(s)

Institution WL)

 

 

 

 

 

THE SPACE BELOW IS FOR USE BY THE FOUNDATION:

Grant Period:

 

 

 

 

Utrector of Reseatch

 

Scientific Advisory Board

Board of Trustees ...

 

Grantee and Institution Notified 0000.

Remarks:

Source: https://www.industrydocuments.ucsf.edu/docs/zxfk0226
",True,True,5.956,3.26
8,11:14 to 11:39 a.m.,table/list,medium,"11:14 to
11:39 a.m

11:39 to

11:44 a.m.

11:44 a.m.

to

12:25 p.m.

12:25 to

12:58 p.m.

12:58 to
4:00 p.m.

2:00 to
5:00 p.m.

Coffee Break
Coffee will be served for men and
women in the lobby adjacent to
exhibit area. Please move into
exhibit area. (Exhibits Open)

TRRF GENERAL SESSION (PART |)

Presiding: Lee A. Waller
TRRF Vice President

“Introductory Remarks”
Lee A. Waller, TRRF Vice Presi-
dent

Individual Interviews with TRRF
Public Board Members and Sci-
entific Advisory Council Mem-
bers
Conducted by TRRF Treasurer
Philip G. Kuehn to get answers
which the public refrigerated
warehousing industry is looking
for. Plus questions from the floor.
Dr. Emil M. Mrak, University of Cal-
ifornia, Chairman, TRRF Board;
Sam R. Cecil, University of Georgia
College of Agriculture; Dr. Stanley
Charm, Tufts University School of
Medicine; Dr. Robert H. Cotton, ITT
Continental Baking Company; Dr.
Owen Fennema, University of Wis-
consin; Dr. Robert E. Hardenburg,
USDA.

Questions and Answers

Exhibits Open
Capt. Jack Stoney Room

TRRF Scientific Advisory
Council Meeting

Ballroom Foyer

 
","11.14 to
11:39 a.m

11:39 to
11:44am

11:44 am
to
12:25 p.m

12:25 to
12:58 p.m

12:58 to
4:00 p.m

2:00 to
5:00 p.m

Coffee Break
Coffee will be served for men and
women in the lobby adjacent to
exhibit area. Please move into
exhibit area. (Exhibits Open)

TRRF GENERAL SESSION (PART 1)

Presiding: Lee A. Waller
TRRF Vice President

“Introductory Remarks”
Lee A. Waller, TRRF Vice Presi-
dent

Individual Interviews with TRRF
Public Board Members and Sci-
entific Advisory Council Mem-
bers
Conducted by TRRF Treasurer
Philip G. Kuehn to get answers
which the public refrigerated
warehousing industry is looking
for. Plus questions from the floor.
Dr. Emil M. Mrak. University of Cal-
ifornia, Chairman. TRRF Board,
Sam R. Cecil. University of Georgia
College of Agriculture: Dr. Stanley
Charm. Tufts University School of
Medicine: Dr. Robert H. Cotton. ITT
Continental Baking Company: Dr.
Owen Fennema. University of Wis-
consin; Dr. Robert E. Hardenburg,
USDA

Questions and Answers

Exhibits Open
Capt. Jack Stoney Room

TRRF Scientific Advisory
Council Meeting

Ballroom Foyer

 
",False,False,2.683,4.318
9,$975.00,form,simple," 

THE ROBERT A. WELCH FOUNDATION
2010 Bank of the Southwest Building
Houston, Texas 77002

BUDGET REQUEST SUMMARY

YEAR (AS APPLICABLE}
May 1, 19 66 Mey i, Io 2 May 1, 18 Total

through. through through
Aon 30, 1987 Ape 30,09 pn BS

. SAL 228.00

L. Berseanmel occ ccecatenoceineen

 

 

2. Permanent Scientific Equipment won SO $s. pes $_. Se |

 

3. Expendable Scientific Items & Services ou... Suu 840,00  $ a ee ~ $840.00

 

4. Other Expense ous

§. TOTAL Exclusive of Overhead ooo SASSO OS
8 Overhedd oon tnsinnennin Sb DSFOG OBR Bes

 

 

 

 

7. TOTAL AMOUNT of Propased Budget ....... $15,000,006 cy BL,

  

  

 

 

 

Name(s} of Principal Investigators) _John E. Kilpatrick _ -
Institution William Maresh Rice University 000 i ctnie _

THE SPACE BELOW IS FOR USE BY THE FOUNDATION:

Grant Period: ences cnt UR BO nents PE Grant Ne. nent .

 

Cirertor of Research oc cccscecssecescceenenes creer renee ete — seenne aegpntepeeenevengeennemeesielithiindeetanenet

Scientific Advisory Board cc cccscscesecegs  ccce eneneeeennnnne venom gcenennennprnngeeenet scene estopemnenenesetnenae

 

Board of THistees oo cc cceseccscseeneeeuttenenbaee cee acs eteeneeenne coe pints :

Grantee and Institution Notified oe DD

Ramerks:

Source: https://www.industrydocuments.ucsf.edu/docs/zxfk0226
"," 

THE ROBERT A. WELCH FOUNDATION
2010 Bank of the Southwest Building
Houston, Texas 77002

BUOGET REQUEST SUMMARY

YEAR (AS APPLICABLE)

 

 

 

 

Mey 1,19 66.0 May t,19 0 May 119 Totat
Apr. oe 67 Age. sO ie Apr. soe

1. Personnel $_11,228,00 sO §

2, Permanent Scientific Equipment oo... x 70 - $.. $

3. Expendable Scientific Items & Services vie 4 840,00 $ a

4, Other Expense oo. cine, S975 .00 8 $e

5. TOTAL Exclusive of Overhead oon $13,043.00 5 $

B. Overhead oc cesses cere . 34,947.00 $0 Bo

7. TOTAL AMOUNT of Proposed Budget ......... $15,000.00 $_. pee

Name(s} of Principal Investigator(s)

Institution WL)

 

 

 

 

 

THE SPACE BELOW IS FOR USE BY THE FOUNDATION:

Grant Period:

 

 

 

 

Utrector of Reseatch

 

Scientific Advisory Board

Board of Trustees ...

 

Grantee and Institution Notified 0000.

Remarks:

Source: https://www.industrydocuments.ucsf.edu/docs/zxfk0226
",False,False,6.3,3.316
